[2022-06-02 17:53:41] [ INFO ] [EstudianteDaoH2:113] Conexion buscar porID OK
[2022-06-04 16:33:55] [ INFO ] [OdontologoDAOH2:41] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:41] [ INFO ] [OdontologoDAOH2:41] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:41] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:41] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:41] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:41] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:41] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:42] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:42] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:42] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:42] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:42] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
[2022-06-04 16:55:42] [ INFO ] [OdontologoDAOH2:141] Conexion Crear y preparedStatement OK
